Actor,Movie,TV Show
Kate Walsh::Ellen DeGeneres::,,The Ellen DeGeneres Show::
Jodie Foster::Mel Gibson::,The Insider::,The Insider (TV series)::Today::Access Hollywood::
Kate Walsh::,,Showbiz Tonight::
Beverly D'Angelo::,August::,Entourage::
,,Today::
,Black Swan::,Today::
,Oscar::,Good Morning America::
,Samantha::,The View::
Jane Lynch::,,
,,Today::
,Oscar::,The Early Show::
,,Wonder Pets::
,,Dora the Explorer::
Sela Ward::,Home::,The Talk (TV series)::Home (TV series)::
,Home::,Home (TV series)::
,September::Ride::,
Hilary Duff::,,
James Franco::,Dave::,
James Franco::,,Marina (telenovela)::
,,Game of Thrones::
Armie Hammer::Aaron Paul::Garrett Hedlund::,Paul::Next::,Next::
,,Glee::
Kevin McHale::,,Glee::
Jenna Ushkowitz::,,Glee::
Lori Loughlin::,,90210::
,Adam::,
Jennifer Lawrence::,The Hunger Games::,
,,
Norman Reedus::,The Walking Dead::,The Walking Dead::
Zachary Levi::,Thor: The Dark World::,Chuck::
Dianna Agron::,Sinatra::,Glee::
NeNe Leakes::Padma Lakshmi::Tia Mowry::,Halloween::,
,Rush::Red::,
Jake Gyllenhaal::,Prisoners::Red::,
,Red::,
Harrison Ford::,Red::,
Sandra Bullock::,,
Julia Roberts::,Red::,Julia::
Vanessa Hudgens::,,
Kristen Stewart::,Twilight::,
Demi Lovato::Emily Osment::Miley Cyrus::,Hannah Montana: The Movie::Cyrus::,Hannah Montana::
,Twilight::,
Taylor Swift::,,
,Paul::,The Vampire Diaries::
Willow Shields::,Willow::The Hunger Games::,
Josh Hutcherson::Jennifer Lawrence::,The Hunger Games::,
Lily Collins::,September::,
Julianne Moore::,Interview::Red::,
,,
,,
,,
,Revolution::Defiance::,Revolution::Defiance (TV series)::
,Darkness::Star Trek::,Star Trek::Kirk (TV series)::
Chris Parnell::,,Archer::
,,Codefellas::
,Anna::,
,Psycho::,
,,Game of Thrones::
,,
,Super::Conspiracy Theory::Despicable Me::,
,World War Z::,Better (TV series)::
,Darkness::Star Trek::,Star Trek::
,,Futurama::Thanks (TV series)::
,Young Adult::The Running Man::The Hunger Games::,
,,Smith::
,,
,Ender's Game::,
,Wonderland::Sleepy Hollow::,Once Upon a Time in Wonderland::Sleepy Hollow (TV series)::
,Fear::Guns::,Fear (TV series)::
Norman Reedus::,Park::The Walking Dead::,The Walking Dead::South Park::
,Star Trek::,Star Trek::
,Andre::Celebrity::Hannibal::Adult::,Hannibal (TV series)::
Sandra Bullock::George Clooney::,Gravity::,George (1993 TV series)::Gravity (TV series)::
Jordan Peele::Keegan-Michael Key::,Michael::,Con (TV series)::Key & Peele::Game of Thrones::
,The Happening::Chicago::,
Ian Somerhalder::,,Action::The Vampire Diaries::
,,
,,
,Avatar::,The Video Game (game show)::
,,
Nicolas Cage::,Intersection::,
,,
,,
,Shorts::,
,,
,Batman::Comedian::,Batman::
,Comedian::A Better Place::,Better (TV series)::
,The Karate Kid::Cookie::Pirates::Monster::,
,Society::Super::,
,Society::,
,,
,Iron Man 3::The Man::,Iron Man::
,,
,,
,,
,,
Tim Heidecker::Eric Wareheim::,Society::Red::,
Dante Basco::,Society::Home::Avatar::The Last Airbender::Hook::,Avatar: The Last Airbender::Home (TV series)::
,,
,,
,Society::La Bamba::,
,Society::,
,,
Yuji Okumoto::,The Karate Kid::,Badass (TV series)::
,Society::High School::,
Randall Park::,Society::Park::,Extra::
Frank Langella::,Society::,
Sung Kang::,Society::Sunset::Fast Five::,
,Deal::,
,,Today::
,Society::,
,,
,Deal::,
,Society::,
,,
,The Avengers::,
,Society::,
,Society::Park::,City (TV series)::
Tim Kang::,Society::,The Mentalist::
,Society::Power::,Con (TV series)::Power (TV series)::
,,
,,
,Society::,
,,Becoming (TV series)::
,,
,Bad Girls::,
,Society::Deal::,
,,
,,Looking::Thanks (TV series)::
,Society::,
,Zero Dark Thirty::Django Unchained::,
,,
George Takei::,Star Trek::,George (1993 TV series)::Star Trek::
,,
,,
,,
,Society::,
Bruce Lee::,,
,,
,,Rob (TV series)::
,Sunday::,
,Sunday::,
,,
,,Tom (TV series)::
James Lipton::,,Inside the Actors Studio::
,Honey::Speak::,
Bill Maher::,,Today::
Quvenzhané Wallis::,Honey::The Way::,VS. (game show)::Today::
,Interview::,
,,George (1993 TV series)::
,,
,,George (1993 TV series)::
,Arthur::,Karen::Smith::Arthur::
,,
,Carrie::,
Janeane Garofalo::,,Delocated::
RJ Mitte::,,
H. Jon Benjamin::,,
,,
Larry David::,,
,,Lost::
James Franco::,,
,,
,Epic::Valentine's Day::,
,,
